source,dst,tag,type,branch,pattern
//lon-engbuild87/d$/mercurial_master/sfl/sf/adaptation/stubs/MCL_stubs/,/sf/adaptation/stubs,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/camera/MCL_camera/,/sf/app/camera,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/commonemail/MCL_commonemail/,/sf/app/commonemail,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/conntools/MCL_conntools/,/sf/app/conntools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/contacts/MCL_contacts/,/sf/app/contacts,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/contentcontrol/MCL_contentcontrol/,/sf/app/contentcontrol,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/conversations/MCL_conversations/,/sf/app/conversations,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/devicecontrol/MCL_devicecontrol/,/sf/app/devicecontrol,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/dictionary/MCL_dictionary/,/sf/app/dictionary,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/files/MCL_files/,/sf/app/files,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/gallery/MCL_gallery/,/sf/app/gallery,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/graphicsuis/MCL_graphicsuis/,/sf/app/graphicsuis,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/helps/MCL_helps/,/sf/app/helps,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/homescreen/MCL_homescreen/,/sf/app/homescreen,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/im/MCL_im/,/sf/app/im,tip,tag,default,layers.sysdef.xml
