source,dst,type,pattern,sysdef
//v800008/Builds01/mercurial_development/rnd/internal/epoc_additional/,/rnd/internal/epoc_additional,changeset,0b7ce35db0c8,layers.sysdef.xml
//v800008/Builds01/mercurial_development/rnd/internal/bldmefirst/,/rnd/internal/bldmefirst,changeset,f44a011bd38c,layers.sysdef.xml
//v800008/Builds01/mercurial_internal/rnd/rndonly/monotype/,/rnd/rndonly/monotype,changeset,eebeffa5c3ff,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/adaptation/stubs/,/sf/adaptation/stubs,changeset,e086c7f635d5,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/camera/,/sf/app/camera,changeset,6c80afd78613,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/commonemail/,/sf/app/commonemail,changeset,192e20a38cc5,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/conntools/,/sf/app/conntools,changeset,7f534f38abee,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/contacts/,/sf/app/contacts,changeset,03127c666729,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/contentcontrol/,/sf/app/contentcontrol,changeset,00b8127ba519,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/conversations/,/sf/app/conversations,changeset,7a960a59aa00,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/devicecontrol/,/sf/app/devicecontrol,changeset,c3fc3fe3ef9a,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/dictionary/,/sf/app/dictionary,changeset,6e19ede44c47,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/files/,/sf/app/files,changeset,4f197e8fb8b9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/gallery/,/sf/app/gallery,changeset,9cd2b28b1bb2,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/graphicsuis/,/sf/app/graphicsuis,changeset,511a37964b1f,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/helps/,/sf/app/helps,changeset,94651d7c38e8,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/homescreen/,/sf/app/homescreen,changeset,e1096ec65dc7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/im/,/sf/app/im,changeset,7e5ee5a012da,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/imgeditor/,/sf/app/imgeditor,changeset,86a88f39b644,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/imgvieweruis/,/sf/app/imgvieweruis,changeset,e9efb3f40c6d,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/iptelephony/,/sf/app/iptelephony,changeset,c8627c142709,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/java/,/sf/app/java,changeset,5169493e151e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/location/,/sf/app/location,changeset,56432fb97313,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/messaging/,/sf/app/messaging,changeset,6063eca9f633,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/mmsharinguis/,/sf/app/mmsharinguis,changeset,3d8c816a9281,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/musicplayer/,/sf/app/musicplayer,changeset,47b4c49e34a3,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/organizer/,/sf/app/organizer,changeset,30d36d5fb1f4,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/phone/,/sf/app/phone,changeset,28cb898e6d95,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/photos/,/sf/app/photos,changeset,c57816c9899b,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/poc/,/sf/app/poc,changeset,2af56024e7b6,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/printing/,/sf/app/printing,changeset,c20a57eb2a8e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/profile/,/sf/app/profile,changeset,fa42fe7e0937,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/radio/,/sf/app/radio,changeset,50484d846447,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/screensaver/,/sf/app/screensaver,changeset,37f2ee1728e1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/settingsuis/,/sf/app/settingsuis,changeset,73756f6eb1d2,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/speechsrv/,/sf/app/speechsrv,changeset,108cf1a8ecda,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/techview/,/sf/app/techview,changeset,be1fac91dbbf,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/utils/,/sf/app/utils,changeset,feeeb3a4f70a,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videocenter/,/sf/app/videocenter,changeset,48471381a46a,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videoeditor/,/sf/app/videoeditor,changeset,993c05fc3895,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videoplayer/,/sf/app/videoplayer,changeset,6238773d3988,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videotelephony/,/sf/app/videotelephony,changeset,702d0bf21b81,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/voicerec/,/sf/app/voicerec,changeset,32519063563c,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/app/webuis/,/sf/app/webuis,changeset,3d957c30fcd9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/accesssec/,/sf/mw/accesssec,changeset,0dfaf4f0a512,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/appinstall/,/sf/mw/appinstall,changeset,6d0e8cd14c38,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/mw/appsupport/,/sf/mw/appsupport,changeset,b122e645082b,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/camerasrv/,/sf/mw/camerasrv,changeset,c914c0f65d81,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/classicui/,/sf/mw/classicui,changeset,8d8626a5e3b9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/dlnasrv/,/sf/mw/dlnasrv,changeset,a84fe18afd1d,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/drm/,/sf/mw/drm,changeset,926af791a7ad,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/hapticsservices/,/sf/mw/hapticsservices,changeset,abb83b484082,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/homescreensrv/,/sf/mw/homescreensrv,changeset,f0d22ae8066a,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/imghandling/,/sf/mw/imghandling,changeset,c36c3942b172,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/imsrv/,/sf/mw/imsrv,changeset,52f56e79559c,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/inputmethods/,/sf/mw/inputmethods,changeset,d42b1567470a,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/ipappprotocols/,/sf/mw/ipappprotocols,changeset,7478671f7b91,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/ipappsrv/,/sf/mw/ipappsrv,changeset,5cd9ce268158,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/ipconnmgmt/,/sf/mw/ipconnmgmt,changeset,ffbd1e5a2b04,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/legacypresence/,/sf/mw/legacypresence,changeset,f50a737b0a81,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/locationsrv/,/sf/mw/locationsrv,changeset,8e38718efd01,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mds/,/sf/mw/mds,changeset,8acfbe90bf5f,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/messagingmw/,/sf/mw/messagingmw,changeset,3c35449a7361,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/metadatasrv/,/sf/mw/metadatasrv,changeset,1de5f44e0e2e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mmappfw/,/sf/mw/mmappfw,changeset,88da77d8762e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mmmw/,/sf/mw/mmmw,changeset,1706db3e45ac,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mmuifw/,/sf/mw/mmuifw,changeset,0f2e667ee3cf,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/netprotocols/,/sf/mw/netprotocols,changeset,afd1f873cfa5,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/networkingdm/,/sf/mw/networkingdm,changeset,394a770aa4cc,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/opensrv/,/sf/mw/opensrv,changeset,8b3860646a34,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/phonesrv/,/sf/mw/phonesrv,changeset,c8a68b0d0b71,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/remoteconn/,/sf/mw/remoteconn,changeset,0a0b2e164e24,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/remotemgmt/,/sf/mw/remotemgmt,changeset,9fd10e53e7f9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/remotestorage/,/sf/mw/remotestorage,changeset,9a3ac71c5144,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/securitysrv/,/sf/mw/securitysrv,changeset,28f9790617f3,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/mw/serviceapi/,/sf/mw/serviceapi,changeset,b8fe8fbd2782,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/mw/serviceapifw/,/sf/mw/serviceapifw,changeset,08dbe5e1ffb8,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/shortlinkconn/,/sf/mw/shortlinkconn,changeset,18640d455ad3,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/mw/svgt/,/sf/mw/svgt,changeset,39f3f110122e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/uiaccelerator/,/sf/mw/uiaccelerator,changeset,00e28a3100ac,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/mw/uiresources/,/sf/mw/uiresources,changeset,a4da961835a7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/uitools/,/sf/mw/uitools,changeset,e34d38d69879,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/videoutils/,/sf/mw/videoutils,changeset,1b3295580697,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/vpnclient/,/sf/mw/vpnclient,changeset,3306d0d0dea9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/mw/web/,/sf/mw/web,changeset,e965153d51e7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/websrv/,/sf/mw/websrv,changeset,ce4c48640ce3,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/wirelessacc/,/sf/mw/wirelessacc,changeset,7e787845ce66,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/boardsupport/,/sf/os/boardsupport,changeset,108770c3ca5f,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/buildtools/,/sf/os/buildtools,changeset,b2a9d1b0856e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/cellularsrv/,/sf/os/cellularsrv,changeset,4a2500933567,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/commsfw/,/sf/os/commsfw,changeset,a53a4813bb1b,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/deviceplatformrelease/,/sf/os/deviceplatformrelease,changeset,6716c23f27e6,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/devicesrv/,/sf/os/devicesrv,changeset,2d5edc3a4614,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/graphics/,/sf/os/graphics,changeset,b989a967866b,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/imagingext/,/sf/os/imagingext,changeset,c358a99b4647,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/kernelhwsrv/,/sf/os/kernelhwsrv,changeset,90a2e74ef6a1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/lbs/,/sf/os/lbs,changeset,b443ae3b2a93,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/mm/,/sf/os/mm,changeset,ef392f79dca7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/networkingsrv/,/sf/os/networkingsrv,changeset,353a5d393fb0,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/ossrv/,/sf/os/ossrv,changeset,b6a481cec1c7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/persistentdata/,/sf/os/persistentdata,changeset,2649dfd3ca0f,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/os/security/,/sf/os/security,changeset,1c92dfe68cf2,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/shortlinksrv/,/sf/os/shortlinksrv,changeset,64e71406057d,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/textandloc/,/sf/os/textandloc,changeset,d7d7c9fcb638,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/unref/,/sf/os/unref,changeset,93041dbd666d,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/wlan/,/sf/os/wlan,changeset,f37176cbc509,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/xmlsrv/,/sf/os/xmlsrv,changeset,d28b515e08a9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/ostools/osrndtools/,/sf/ostools/osrndtools,changeset,4a2e53eea592,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/build_s60/,/sf/tools/build_s60,changeset,0f3764b0af6b,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/buildplatforms/,/sf/tools/buildplatforms,changeset,5920dac4877c,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/homescreentools/,/sf/tools/homescreentools,changeset,ea2532171a25,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/tools/makefile_templates/,/sf/tools/makefile_templates,changeset,b20c55b2a821,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/tools/platformtools/,/sf/tools/platformtools,changeset,8ea486560175,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/rndtools/,/sf/tools/rndtools,changeset,7362d90a7a0b,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/swconfigtools/,/sf/tools/swconfigtools,changeset,473f8eb21406,layers.sysdef.xml
