source,dst,type,pattern,sysdef
http://developer.symbian.org/oss/MCL/utilities/oss/MCL/utilities/,/utilities,branch,default,
//v800008/Builds01/mercurial_development/rnd/internal/epoc_additional/,/rnd/internal/epoc_additional,branch,RCL_1,
//v800008/Builds01/mercurial_internal/rnd/rndonly/aricent/,/rnd/rndonly/aricent,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/monotype/,/rnd/rndonly/monotype,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/realnetworks/,/rnd/rndonly/realnetworks,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/samsung/,/rnd/rndonly/samsung,branch,default,
//v800008/Builds01/mercurial_internal/rnd/redist/objective_systems/,/rnd/redist/objective_systems,branch,default,
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/homescreentools/,/sf/tools/homescreentools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/rndtools/,/sf/tools/rndtools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/tools/platformtools/,/sf/tools/platformtools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/swconfigtools/,/sf/tools/swconfigtools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/tools/build_s60/,/sf/tools/build_s60,branch,RCL_1,
//v800008/Builds01/mercurial_development/sfl/FCL/sf/tools/buildplatforms/,/sf/tools/buildplatforms,branch,RCL_1,
//v800008/Builds01/mercurial_development/sfl/FCL/sf/tools/makefile_templates/,/sf/tools/makefile_templates,branch,RCL_1,
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/ostools/osrndtools/,/sf/ostools/osrndtools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/adaptation/stubs/,/sf/adaptation/stubs,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/oss/FCL/sf/adaptation/qemu/,/sf/adaptation/qemu,branch,default,
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/boardsupport/,/sf/os/boardsupport,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/ossrv/,/sf/os/ossrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/os/security/,/sf/os/security,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/persistentdata/,/sf/os/persistentdata,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/devicesrv/,/sf/os/devicesrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/lbs/,/sf/os/lbs,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/commsfw/,/sf/os/commsfw,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/os/networkingsrv/,/sf/os/networkingsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/wlan/,/sf/os/wlan,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/cellularsrv/,/sf/os/cellularsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/mm/,/sf/os/mm,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/imagingext/,/sf/os/imagingext,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/graphics/,/sf/os/graphics,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/textandloc/,/sf/os/textandloc,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/xmlsrv/,/sf/os/xmlsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/os/deviceplatformrelease/,/sf/os/deviceplatformrelease,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/os/kernelhwsrv/,/sf/os/kernelhwsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/shortlinksrv/,/sf/os/shortlinksrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/os/buildtools/,/sf/os/buildtools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/os/unref/,/sf/os/unref,branch,RCL_1,
//v800008/Builds01/mercurial_development/sfl/FCL/sf/mw/appsupport/,/sf/mw/appsupport,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/securitysrv/,/sf/mw/securitysrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/drm/,/sf/mw/drm,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/accesssec/,/sf/mw/accesssec,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/locationsrv/,/sf/mw/locationsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/ipconnmgmt/,/sf/mw/ipconnmgmt,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/netprotocols/,/sf/mw/netprotocols,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/ipappprotocols/,/sf/mw/ipappprotocols,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/wirelessacc/,/sf/mw/wirelessacc,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/vpnclient/,/sf/mw/vpnclient,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/ipappsrv/,/sf/mw/ipappsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/phonesrv/,/sf/mw/phonesrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/messagingmw/,/sf/mw/messagingmw,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/imsrv/,/sf/mw/imsrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/legacypresence/,/sf/mw/legacypresence,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/opensrv/,/sf/mw/opensrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/remotemgmt/,/sf/mw/remotemgmt,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/networkingdm/,/sf/mw/networkingdm,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/remotestorage/,/sf/mw/remotestorage,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/remoteconn/,/sf/mw/remoteconn,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/dlnasrv/,/sf/mw/dlnasrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/shortlinkconn/,/sf/mw/shortlinkconn,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/imghandling/,/sf/mw/imghandling,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/metadatasrv/,/sf/mw/metadatasrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mds/,/sf/mw/mds,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mmuifw/,/sf/mw/mmuifw,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/videoutils/,/sf/mw/videoutils,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mmmw/,/sf/mw/mmmw,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/helix/,/sf/mw/helix,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/camerasrv/,/sf/mw/camerasrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/mmappfw/,/sf/mw/mmappfw,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/inputmethods/,/sf/mw/inputmethods,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/mw/classicui/,/sf/mw/classicui,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/mw/svgt/,/sf/mw/svgt,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/uiaccelerator/,/sf/mw/uiaccelerator,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/mw/uiresources/,/sf/mw/uiresources,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/hapticsservices/,/sf/mw/hapticsservices,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/homescreensrv/,/sf/mw/homescreensrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/mw/appinstall/,/sf/mw/appinstall,branch,RCL_1,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/serviceapifw/,/sf/mw/serviceapifw,branch,RCL_1,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/serviceapi/,/sf/mw/serviceapi,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/mw/web/,/sf/mw/web,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/websrv/,/sf/mw/websrv,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/uitools/,/sf/mw/uitools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/location/,/sf/app/location,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/mmsharinguis/,/sf/app/mmsharinguis,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/phone/,/sf/app/phone,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videotelephony/,/sf/app/videotelephony,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/poc/,/sf/app/poc,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/iptelephony/,/sf/app/iptelephony,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/settingsuis/,/sf/app/settingsuis,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/contentcontrol/,/sf/app/contentcontrol,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/devicecontrol/,/sf/app/devicecontrol,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/conntools/,/sf/app/conntools,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/printing/,/sf/app/printing,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/files/,/sf/app/files,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/contacts/,/sf/app/contacts,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/organizer/,/sf/app/organizer,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/messaging/,/sf/app/messaging,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/commonemail/,/sf/app/commonemail,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/conversations/,/sf/app/conversations,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/app/im/,/sf/app/im,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/utils/,/sf/app/utils,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/dictionary/,/sf/app/dictionary,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/camera/,/sf/app/camera,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/imgeditor/,/sf/app/imgeditor,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videoeditor/,/sf/app/videoeditor,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/gallery/,/sf/app/gallery,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videoplayer/,/sf/app/videoplayer,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/FCL/sf/app/photos/,/sf/app/photos,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/app/videocenter/,/sf/app/videocenter,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/musicplayer/,/sf/app/musicplayer,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/radio/,/sf/app/radio,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/voicerec/,/sf/app/voicerec,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/imgvieweruis/,/sf/app/imgvieweruis,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/screensaver/,/sf/app/screensaver,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/homescreen/,/sf/app/homescreen,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/graphicsuis/,/sf/app/graphicsuis,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/profile/,/sf/app/profile,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/speechsrv/,/sf/app/speechsrv,branch,RCL_1,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/webuis/,/sf/app/webuis,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/java/,/sf/app/java,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/helps/,/sf/app/helps,branch,RCL_1,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/techview/,/sf/app/techview,branch,RCL_1,layers.sysdef.xml
