source,dst,type,pattern,sysdef
//v800008/Builds01/mercurial_master_prod/oss/FCL/interim/sf-test/platform/smoketest,/smoketest,changeset,147b85a37c23,
//v800008/Builds01/mercurial_development/oss/MCL/utilities/,/utilities,changeset,2c9e0f9990c0,
//v800008/Builds01/mercurial_development/rnd/internal/epoc_additional/,/rnd/internal/epoc_additional,changeset,78fc0271e9a7,
//v800008/Builds01/mercurial_internal/rnd/rndonly/aricent/,/rnd/rndonly/aricent,changeset,5c9ca1e17dbb,
//v800008/Builds01/mercurial_internal/rnd/rndonly/monotype/,/rnd/rndonly/monotype,changeset,d179868647e4,
//v800008/Builds01/mercurial_internal/rnd/rndonly/realnetworks/,/rnd/rndonly/realnetworks,changeset,afb66031ac23,
//v800008/Builds01/mercurial_internal/rnd/rndonly/samsung/,/rnd/rndonly/samsung,changeset,bc65ca6d8d9c,
//v800008/Builds01/mercurial_internal/rnd/redist/objective_systems/,/rnd/redist/objective_systems,changeset,3308607f8c27,
http://developer.symbian.org/oss/FCL/sf/adaptation/stubs/,/sf/adaptation/stubs,changeset,08c4f946d508,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/camera/,/sf/app/camera,changeset,dbec5787fa68,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/commonemail/,/sf/app/commonemail,changeset,e1b6206813b4,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/conntools/,/sf/app/conntools,changeset,cc5042a680fb,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/contacts/,/sf/app/contacts,changeset,04ab22b956c2,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/contentcontrol/,/sf/app/contentcontrol,changeset,ad0f53516d84,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/conversations/,/sf/app/conversations,changeset,f5911524345e,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/devicecontrol/,/sf/app/devicecontrol,changeset,db6d61d7814f,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/dictionary/,/sf/app/dictionary,changeset,1b41880e7c31,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/files/,/sf/app/files,changeset,1e73d2d04cbc,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/graphicsuis/,/sf/app/graphicsuis,changeset,e6e7e3ee283d,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/helps/,/sf/app/helps,changeset,d06b1526f62c,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/homescreen/,/sf/app/homescreen,changeset,f966699dea19,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/im/,/sf/app/im,changeset,d96c135bc497,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/imgeditor/,/sf/app/imgeditor,changeset,edfc90759b9f,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/iptelephony/,/sf/app/iptelephony,changeset,fc8c25e5a2e8,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/jrt/,/sf/app/jrt,changeset,014f8c42e1d4,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/location/,/sf/app/location,changeset,3c271c9e6618,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/messaging/,/sf/app/messaging,changeset,1d7827e39b52,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/mmsharinguis/,/sf/app/mmsharinguis,changeset,c47a75a8cd72,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/musicplayer/,/sf/app/musicplayer,changeset,13afc0e517bd,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/organizer/,/sf/app/organizer,changeset,273b50e1bc69,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/phone/,/sf/app/phone,changeset,485080d5cb63,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/photos/,/sf/app/photos,changeset,6b87b143d312,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/printing/,/sf/app/printing,changeset,86ac2e536fee,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/profile/,/sf/app/profile,changeset,09aa63f9b2bc,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/radio/,/sf/app/radio,changeset,42dc287846be,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/screensaver/,/sf/app/screensaver,changeset,04e92f1a7966,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/settingsuis/,/sf/app/settingsuis,changeset,9f92ee11141b,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/speechsrv/,/sf/app/speechsrv,changeset,01d847e5a91b,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/techview/,/sf/app/techview,changeset,6beaa9cf4752,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/utils/,/sf/app/utils,changeset,57ec1f1a7fd2,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/videoeditor/,/sf/app/videoeditor,changeset,951a5db380a0,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/videoplayer/,/sf/app/videoplayer,changeset,7d91903f795f,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/videotelephony/,/sf/app/videotelephony,changeset,07d1685f0cd4,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/voicerec/,/sf/app/voicerec,changeset,35a9006a7fc7,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/webuis/,/sf/app/webuis,changeset,d6c1cc3e4806,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/accesssec/,/sf/mw/accesssec,changeset,7b8801c4c2d9,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/appinstall/,/sf/mw/appinstall,changeset,51c0f5edf5ef,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/appsupport/,/sf/mw/appsupport,changeset,41c831b220fc,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/btservices/,/sf/mw/btservices,changeset,6a29d5ad0713,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/camerasrv/,/sf/mw/camerasrv,changeset,bcdc0181a9f1,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/classicui/,/sf/mw/classicui,changeset,8ca85d2f0db7,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/dlnasrv/,/sf/mw/dlnasrv,changeset,62c8a2d3d275,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/drm/,/sf/mw/drm,changeset,77a4e6a1beb4,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/gsprofilesrv/,/sf/mw/gsprofilesrv,changeset,f62c3a3d66b8,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/hapticsservices/,/sf/mw/hapticsservices,changeset,0a5ec9af4050,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/helix/,/sf/mw/helix,changeset,bf642e5cdd8d,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/homescreensrv/,/sf/mw/homescreensrv,changeset,5ef93ea513cb,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/imghandling/,/sf/mw/imghandling,changeset,82749d516180,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/imsrv/,/sf/mw/imsrv,changeset,071f3cdcec69,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/inputmethods/,/sf/mw/inputmethods,changeset,f5a1e66df979,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/ipappprotocols/,/sf/mw/ipappprotocols,changeset,eed911ae68f2,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/ipappsrv/,/sf/mw/ipappsrv,changeset,513a8b745b2f,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/ipconnmgmt/,/sf/mw/ipconnmgmt,changeset,2e6c4614c58e,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/legacypresence/,/sf/mw/legacypresence,changeset,ca392eff7152,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/locationsrv/,/sf/mw/locationsrv,changeset,42de37ce7ce4,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/mds/,/sf/mw/mds,changeset,6752808b2036,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/messagingmw/,/sf/mw/messagingmw,changeset,fe71b07a6401,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/metadatasrv/,/sf/mw/metadatasrv,changeset,25a73b11c967,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/mmappfw/,/sf/mw/mmappfw,changeset,835a21e50645,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/mmmw/,/sf/mw/mmmw,changeset,4f62049db6ac,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/mmuifw/,/sf/mw/mmuifw,changeset,c2c0f97004fc,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/netprotocols/,/sf/mw/netprotocols,changeset,5ee1d9ce5878,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/networkingdm/,/sf/mw/networkingdm,changeset,726be5d7e65d,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/opensrv/,/sf/mw/opensrv,changeset,38249ef85f99,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/phonesrv/,/sf/mw/phonesrv,changeset,a4a774cb6ea7,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/remoteconn/,/sf/mw/remoteconn,changeset,ca4caa9ba686,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/remotemgmt/,/sf/mw/remotemgmt,changeset,57a65a3a658c,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/remotestorage/,/sf/mw/remotestorage,changeset,0b1a89531ca2,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/securitysrv/,/sf/mw/securitysrv,changeset,3b17fc5c9564,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/serviceapi/,/sf/mw/serviceapi,changeset,4ac3198c2c5b,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/serviceapifw/,/sf/mw/serviceapifw,changeset,35c6c77e36de,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/shortlinkconn/,/sf/mw/shortlinkconn,changeset,11d83199e2d9,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/srvdiscovery/,/sf/mw/srvdiscovery,changeset,2811ce8b1bfb,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/svgt/,/sf/mw/svgt,changeset,19f463b3b9b2,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/uiaccelerator/,/sf/mw/uiaccelerator,changeset,d8a3531bc6b8,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/uiresources/,/sf/mw/uiresources,changeset,8b106fdafd3c,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/uitools/,/sf/mw/uitools,changeset,b8b9ec0d9e3f,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/mw/usbservices/,/sf/mw/usbservices,changeset,1e6bfc80a381,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/videoutils/,/sf/mw/videoutils,changeset,e3b7e04384fe,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/mw/vpnclient/,/sf/mw/vpnclient,changeset,032d3a818f49,layers.sysdef.xml
