source,dst,type,pattern,sysdef
//v800008/Builds01/mercurial_development/oss/MCL/utilities/,/utilities,changeset,c63eca238256,
//v800008/Builds01/mercurial_development/rnd/internal/epoc_additional/,/rnd/internal/epoc_additional,changeset,21459158c31d,
//v800008/Builds01/mercurial_internal/rnd/rndonly/aricent/,/rnd/rndonly/aricent,changeset,5c9ca1e17dbb,
//v800008/Builds01/mercurial_internal/rnd/rndonly/monotype/,/rnd/rndonly/monotype,changeset,d179868647e4,
//v800008/Builds01/mercurial_internal/rnd/rndonly/realnetworks/,/rnd/rndonly/realnetworks,changeset,afb66031ac23,
//v800008/Builds01/mercurial_internal/rnd/rndonly/samsung/,/rnd/rndonly/samsung,changeset,bc65ca6d8d9c,
//v800008/Builds01/mercurial_internal/rnd/redist/objective_systems/,/rnd/redist/objective_systems,changeset,3308607f8c27,
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/adaptation/stubs/,/sf/adaptation/stubs,changeset,4d8ba5ec8d94,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/camera/,/sf/app/camera,changeset,9e43b0b34454,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/commonemail/,/sf/app/commonemail,changeset,b5cfad44588c,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/conntools/,/sf/app/conntools,changeset,d7c77bb84878,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/contacts/,/sf/app/contacts,changeset,e93ebd43f307,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/contentcontrol/,/sf/app/contentcontrol,changeset,4c23e1108f12,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/conversations/,/sf/app/conversations,changeset,20c5e623a00c,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/devicecontrol/,/sf/app/devicecontrol,changeset,5fda7c4fb346,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/dictionary/,/sf/app/dictionary,changeset,5b717d770f21,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/files/,/sf/app/files,changeset,79c10d13ce41,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/gallery/,/sf/app/gallery,changeset,46ea192d6e87,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/graphicsuis/,/sf/app/graphicsuis,changeset,fb4a08f06ab4,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/helps/,/sf/app/helps,changeset,16bcb3220034,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/homescreen/,/sf/app/homescreen,changeset,9174fd00d662,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/im/,/sf/app/im,changeset,3b8fa7376fe6,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/imgeditor/,/sf/app/imgeditor,changeset,76740b230ee9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/imgvieweruis/,/sf/app/imgvieweruis,changeset,50533f36030f,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/iptelephony/,/sf/app/iptelephony,changeset,0b1de9ecb23a,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/java/,/sf/app/java,changeset,9fc834c050fd,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/app/location/,/sf/app/location,changeset,ff5fb5591680,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/messaging/,/sf/app/messaging,changeset,5099c799902f,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/mmsharinguis/,/sf/app/mmsharinguis,changeset,c8e6317c8268,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/musicplayer/,/sf/app/musicplayer,changeset,714da8fc5ced,layers.sysdef.xml
//v800008/Builds01/mercurial_development/sfl/FCL/sf/app/organizer/,/sf/app/organizer,changeset,960b1bb6632e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/phone/,/sf/app/phone,changeset,d898e3513038,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/photos/,/sf/app/photos,changeset,e9c3c79239fd,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/poc/,/sf/app/poc,changeset,c5b56e5587ed,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/printing/,/sf/app/printing,changeset,5252e853a0d5,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/profile/,/sf/app/profile,changeset,76d1941546b7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/radio/,/sf/app/radio,changeset,2fc6a38d6291,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/screensaver/,/sf/app/screensaver,changeset,2ee97c783ea9,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/settingsuis/,/sf/app/settingsuis,changeset,ee9040a8b7b7,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/speechsrv/,/sf/app/speechsrv,changeset,0922b82a8b44,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/techview/,/sf/app/techview,changeset,94898c50ad60,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/utils/,/sf/app/utils,changeset,a07c2b53b56e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videocenter/,/sf/app/videocenter,changeset,82facfec5162,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videoeditor/,/sf/app/videoeditor,changeset,48eaf07b9953,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videoplayer/,/sf/app/videoplayer,changeset,3d498b5c7806,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/videotelephony/,/sf/app/videotelephony,changeset,11af009db19c,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/app/voicerec/,/sf/app/voicerec,changeset,3bc506b6f543,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/oss/MCL/sf/app/webuis/,/sf/app/webuis,changeset,43b688b25e10,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/accesssec/,/sf/mw/accesssec,changeset,dc6f3516ed13,layers.sysdef.xml
//v800008/Builds01/mercurial_master_prod/sfl/MCL/sf/mw/appinstall/,/sf/mw/appinstall,changeset,46a7a112cd5d,layers.sysdef.xml
