source,dst,type,pattern,sysdef
//v800008/Builds01/mercurial_development/oss/MCL/utilities/,/utilities,branch,default,
//v800008/Builds01/mercurial_development/rnd/internal/epoc_additional/,/rnd/internal/epoc_additional,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/aricent/,/rnd/rndonly/aricent,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/monotype/,/rnd/rndonly/monotype,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/realnetworks/,/rnd/rndonly/realnetworks,branch,default,
//v800008/Builds01/mercurial_internal/rnd/rndonly/samsung/,/rnd/rndonly/samsung,branch,default,
//v800008/Builds01/mercurial_internal/rnd/redist/objective_systems/,/rnd/redist/objective_systems,branch,default,
http://developer.symbian.org/oss/FCL/sf/adaptation/stubs/,/sf/adaptation/stubs,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/camera/,/sf/app/camera,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/commonemail/,/sf/app/commonemail,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/conntools/,/sf/app/conntools,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/contacts/,/sf/app/contacts,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/contentcontrol/,/sf/app/contentcontrol,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/conversations/,/sf/app/conversations,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/devicecontrol/,/sf/app/devicecontrol,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/dictionary/,/sf/app/dictionary,branch,RCL_3,layers.sysdef.xml
http://developer.symbian.org/oss/MCL/sf/app/files/,/sf/app/files,branch,RCL_3,layers.sysdef.xml
