source,dst,type,pattern,sysdef
//v800008/Builds01/mercurial_development/oss/MCL/utilities/,/utilities,changeset,6e81c130aa29,
//v800008/Builds01/mercurial_development/rnd/internal/epoc_additional/,/rnd/internal/epoc_additional,changeset,21459158c31d,
//v800008/Builds01/mercurial_internal/rnd/rndonly/aricent/,/rnd/rndonly/aricent,changeset,5c9ca1e17dbb,
//v800008/Builds01/mercurial_internal/rnd/rndonly/monotype/,/rnd/rndonly/monotype,changeset,d179868647e4,
//v800008/Builds01/mercurial_internal/rnd/rndonly/realnetworks/,/rnd/rndonly/realnetworks,changeset,afb66031ac23,
//v800008/Builds01/mercurial_internal/rnd/rndonly/samsung/,/rnd/rndonly/samsung,changeset,bc65ca6d8d9c,
//v800008/Builds01/mercurial_internal/rnd/redist/objective_systems/,/rnd/redist/objective_systems,changeset,3308607f8c27,
//v800008/Builds01/mercurial_development/oss/FCL/sf/adaptation/stubs/,/sf/adaptation/stubs,changeset,6ac4a04c9b06,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/oss/MCL/sf/app/camera/,/sf/app/camera,changeset,f5ec9446e5bf,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/oss/MCL/sf/app/commonemail/,/sf/app/commonemail,changeset,5253a20d2a1e,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/oss/MCL/sf/app/conntools/,/sf/app/conntools,changeset,e329958deeba,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/sfl/MCL/sf/app/contacts/,/sf/app/contacts,changeset,fd8c00097b53,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/oss/MCL/sf/app/contentcontrol/,/sf/app/contentcontrol,changeset,c2b8a5ae6ed5,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/sfl/MCL/sf/app/conversations/,/sf/app/conversations,changeset,14844d264045,layers.sysdef.xml
//v800008/Builds01/mercurial_master_stage/oss/MCL/sf/app/devicecontrol/,/sf/app/devicecontrol,changeset,a5fecba4b1e4,layers.sysdef.xml
