source,dst,type,pattern,sysdef
http://developer.symbian.org/oss/FCL/sftools/fbf/utilities/,/utilities,branch,default,NON-NOKIA
http://developer.symbian.org/oss/FCL/sf/adaptation/beagleboard/,/sf/adaptation/beagleboard,branch,default,NON-NOKIA
http://developer.symbian.org/oss/MCL/sf/adaptation/codecs.aricent/,/sf/adaptation/codecs.aricent,branch,default,NON-NOKIA
http://developer.symbian.org/oss/FCL/sf/adaptation/openmaxil.nokia/,/sf/adaptation/openmaxil.nokia,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/adaptation/qemu/,/sf/adaptation/qemu,branch,default,NON-NOKIA
http://developer.symbian.org/oss/FCL/sf/adaptation/stubs/,/sf/adaptation/stubs,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/browserui/,/sf/app/browserui,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/camera/,/sf/app/camera,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/calendarwidget/,/sf/app/calendarwidget,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/commonemail/,/sf/app/commonemail,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/conntools/,/sf/app/conntools,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/contacts/,/sf/app/contacts,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/contentcontrol/,/sf/app/contentcontrol,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/devicecontrol/,/sf/app/devicecontrol,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/files/,/sf/app/files,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/firsttimeuse/,/sf/app/firsttimeuse,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/helps/,/sf/app/helps,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/homescreen/,/sf/app/homescreen,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/homescreentools/,/sf/app/homescreentools,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/jrt/,/sf/app/jrt,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/internetradio/,/sf/app/internetradio,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/location/,/sf/app/location,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/messaging/,/sf/app/messaging,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/mmsharinguis/,/sf/app/mmsharinguis,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/musicplayer/,/sf/app/musicplayer,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/organizer/,/sf/app/organizer,tag,S4_PDK_FIX,
http://developer.symbian.org/oss/FCL/sf/app/phone/,/sf/app/phone,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/photos/,/sf/app/photos,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/podcatcher/,/sf/app/podcatcher,branch,default,NON-NOKIA
http://developer.symbian.org/oss/FCL/sf/app/printing/,/sf/app/printing,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/radio/,/sf/app/radio,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/recents/,/sf/app/recents,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/rndtools/,/sf/app/rndtools,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/settingsuis/,/sf/app/settingsuis,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/search/,/sf/app/search,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/techview/,/sf/app/techview,tag,tip_bulk,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/testtools/,/sf/app/testtools,branch,default,layers.sysdef.xml
http://developer.symbian.org/oss/FCL/sf/app/videoplayer/,/sf/app/videoplayer,tag,tip_bulk,layers.sysdef.xml
